band_name,corrected_band_name,average_price,mbid,listeners,playcount,actual_known_cost?,bio_intro,image_url
Bassnectar,Bassnectar,"$125,000",5d7c4cfc-29e7-4c83-8893-ae02679fc9f4,604947,10506925,TRUE,"Bassnectar is the stage name of Lorin Ashton, a freeform electronic music producer and DJ based in Santa Cruz, California. He is best known for his live performances, light shows, and community engagement. He made his debut in 2001 with the release of his debut studio album Freakbeat for the BeatfreaksBassnectar on his history, posted via bassnectar.netA quick run down of my musical life:When I was in junior high I began discovering music that struck me, as opposed to music that felt familiar (like my parentã®´Í¶s music). <a href=""https://www.last.fm/music/Bassnectar"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/bca40e31d052458b8d333b172a193783.png
Ben Harper,Ben Harper,"$125,000",bab1a235-a6a5-4e67-90ca-64ac0f991a10,1313832,22608302,TRUE,"Ben Harper (born October 28, 1969) is an American  Grammy-winning singer and songwriter. A native of California, he grew up listening to blues, folk, soul, RnB, and reggae. Harper's blend of groove-laden funky soul and folky handcrafted acoustics helped him to gain cult status during the course of the 1990s and widespread attention toward the end of the decade. Harper combines elements of classic folk singers, blues revivalists and jam bands and is embraced by critics and college kids alike. <a href=""https://www.last.fm/music/Ben+Harper"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/c8dc191e4db24e0cb5a1a36e7d4c61e6.png
Big & Rich,Big ,"$100,000",,0,0,TRUE," <a href=""https://www.last.fm/music/Big+"">Read more on Last.fm</a>",
Black Eyes Peas,Black Eyes Peas,"$450,000",,0,0,TRUE,"This artist is a small typo for the artist Black Eyed Peas  <a href=""https://www.last.fm/music/+noredirect/Black+Eyes+Peas"">Read more on Last.fm</a>",
Blake Shelton,Blake Shelton,"$325,000",2ad66473-ccb3-41d2-8756-b56680cdfe62,725169,8827490,TRUE,"Blake Tollison Shelton (born June 18, 1976) is an American country music artist. In 2001, he made his debut with the single ""Austin"". Released as the lead-off single from his self-titled debut album, ""Austin"" went on to spend five weeks at Number One on the Billboard Hot Country Songs charts. This song was the first single from his gold-certified debut album, which also produced two more Top 20 hits. Although the album was released on Giant Records Nashville, Shelton was transferred to Warner Bros. <a href=""https://www.last.fm/music/Blake+Shelton"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3fc23bebf9c0c17c8cd7e0c2113b6681.png
Bob Dylan,Bob Dylan,"$225,000",72c536dc-7137-4477-a521-567eeb840fa8,2612380,150706840,TRUE,"Bob Dylan (born Robert Allen Zimmerman on May 24, 1941 in Duluth, Minnesota, United States) is an American musician, poet and artist whose position in popular culture is unique.Dylan started his musical odyssey in 1959 when he began playing in Dinkytown, Minneapolis while attending the University of Minnesota. Shortly after starting to play he changed his stage name to Bob Dylan, after being influenced by the poetry of Dylan Thomas before legally changing his name in 1962.  <a href=""https://www.last.fm/music/Bob+Dylan"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/5c758684c06d4eefa3e074d7775ccd17.png
Bon Jovi,Bon Jovi,"$1,000,000",5dcdb5eb-cb72-4e6e-9e63-b7bace604965,2297573,62275407,TRUE,"Bon Jovi is a hard rock band from Sayreville, New Jersey. Fronted by lead singer and namesake Jon Bon Jovi (born John Francis Bongiovi, Jr.), the group originally achieved large-scale success in the 80s. Over the past 25 years, the band has sold over 120 million albums worldwide, 34 million of those sales being in the U.S. alone, making them one of the most successful modern groups of all time. They continue to have widely popular tours.Bon Jovi formed in 1983. <a href=""https://www.last.fm/music/Bon+Jovi"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/6ba22f56b47ad43f64fef8ba0223a39d.png
Bonnie Raitt,Bonnie Raitt,"$125,000",0f0da09c-3940-4cb5-879f-4cea28907810,434986,4064026,TRUE,"Bonnie Raitt, (born November 8, 1949) is an American blues and R&B singer, songwriter, and guitarist who was born in Burbank, California, the daughter of Broadway musical star John Raitt.Raitt began playing guitar at an early age, something not a lot of her high school girlfriends did. ""I had played a little at school and at camp,"" she later recalled in a July 2002 interview. ""My parents would drag me out to perform for my family, like all parents do, but it was a hobbyã®´ã®´ã®´nothing more. <a href=""https://www.last.fm/music/Bonnie+Raitt"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/0f6973103e214ebdb50f65a7490190b1.png
Brantley GIlbert,Brantley Gilbert,"$175,000",9ad8aede-6938-48f2-93fa-908bc4da9ef6,187573,2015324,TRUE,"Brantley Gilbert (born January 20, 1985), is an American country rock music singer-songwriter. He has released two albums, both on the Average Joe's Entertainment Group label. His songs have also been recorded by Colt Ford and Jason Aldean. In February 2011, he left Average Joe's label to join Valory Music Group, where he has charted ""Country Must Be Country Wide"". A deluxe edition of Halfway to Heaven was released on September 13, 2011, two months before ""Country Must Be Country Wide"" reached number one on the Hot Country Songs charts. <a href=""https://www.last.fm/music/Brantley+Gilbert"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/a0b81a6aa63c4339c32c11d89747c2d6.png
Breaking Benjamin,Breaking Benjamin,"$150,000",854a1807-025b-42a8-ba8c-2a39717f1d25,1958569,74041383,TRUE,"Breaking Benjamin is a post-grunge/alternative metal band Formed in Wilkes-Barre, Pennsylvania, USA in 1998 by vocalist Benjamin Burnley and drummer Jeremy Hummel, Breaking Benjamin quickly garnered a strong local following. 1st Studio Album [2002] - SaturateThe band signed to Hollywood Records in 2001 after the success of an independently-released, self-titled EP, which sold all 2,000 copies that were manufactured. Hollywood Records released their full-length, major-label debut, Saturate, on August 27, 2002. <a href=""https://www.last.fm/music/Breaking+Benjamin"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3c33b2f17cfc6f2723b9e6d8aa810a43.png
Britney Spears,Britney Spears,"$500,000",45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,3174874,195154076,TRUE,"Britney Jean Spears (born on December 2, 1981 in Kentwood, LA, United States, and raised in Kentwood, Louisiana, United States) is a Grammy-winning multi-platinum American pop singer, songwriter, dancer and occasional actress. She debuted in 1998 with her single ...Baby One More Time. She is one of the most influential and popular post-2000 icons of music. Spears is one of the few young musicians to appear on lists of best selling music acts of all-time. She also holds several world records. <a href=""https://www.last.fm/music/Britney+Spears"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/834329d592e042669dcf9489672e05b5.png
Bruce Springsteen,Bruce Springsteen,"$1,000,000",70248960-cb53-4ea4-943a-edb18f7d336f,2115577,76322871,TRUE,"Bruce Frederick Joseph Springsteen (born September 23, 1949 in Freehold, New Jersey, United States) is an American songwriter, singer, and guitarist. With a recording career stretching back to 1966 that continues to this day, he's recorded multiple award-winning studio albums and toured constantly, inspiring generations of pop and rock musicians. He's often known as ""The Boss"". He has frequently played as Bruce Springsteen & The E Street Band. Most widely known for his brand of heartland rock infused with pop hooks <a href=""https://www.last.fm/music/Bruce+Springsteen"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/fa2aa2f633a6891f211cad6c8e642be9.png
Bruno Mars,Bruno Mars,"$300,000",afb680f2-b6eb-4cd7-a70b-a63b25c763d5,1769953,51644835,TRUE,"Peter Gene Hernandez (born October 8, 1985 in Waikiki, Hawaii), better known by his stage name Bruno Mars, is a Filipino-Puerto Rican American singer-songwriter, producer and musician signed to Atlantic Records. He has released three studio albums: Doo-Wops & Hooligans (2010, #3 USA), Unorthodox Jukebox (2012, #1 USA), and 24K Magic (2016, #2 USA). As of 2018, Mars has ten top 10 hits in the USA (and five more as a featured artist), including seven #1 singles combined : ""Just the Way You Are"" <a href=""https://www.last.fm/music/Bruno+Mars"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/0c53a611da768b32ad23ccfe9ae5cc9a.png
Caifanes,Caifanes,"$100,000",77814bfb-f1b0-47fd-8492-65d6f72c246d,175982,4266295,TRUE,"Caifanes -founded in 1987, is a rock band that achieved  fame throughout the late 80ã®´Í¶s and early 90ã®´Í¶s in Latin America and gained recognition in the U.S. The band formed in Mexico City - Mexico and its original lineup consisted of Saﬁ¨l Hernã®´ã®´ndez (vocals & guitar), Sabo Romo (bass guitar), Alfonso Andrﬁ∏ (drums) and Diego Herrera (keyboards and saxophone). Argentinean guitarist Alejandro Marcovich joined in 1989. Caifanes are considered to be <a href=""https://www.last.fm/music/Caifanes"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/20a72d00dd81472c9f406823e36fdd42.png
Calvin Harris,Calvin Harris,"$150,000",8dd98bdc-80ec-4e93-8509-2f46bafc09a7,2105443,68511112,TRUE,"Calvin Harris (born Adam Richard Wiles; January 17,  1984 in Dumfries, Scotland), is a Scottish singer, songwriter and record producer. He was born and grew up in Dumfries, Scotland. His interest in electronic music surfaced in his early teenage years, producing his first bedroom demo by the age of 15. His first album I Created Disco was released on 18 June 2007. The album contained up-tempo electroclash songs that were influenced by music from the 1980s. <a href=""https://www.last.fm/music/Calvin+Harris"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/8bee6447be65b154bceb7ed26a35e177.png
Carrie Underwood,Carrie Underwood,"$450,000",70f0e309-5418-49b6-a130-666e2f76eecd,999010,19183763,TRUE,"Carrie Marie Underwood, born March 10, 1983, is an American  country pop  singer-songwriter from Checotah, Oklahoma. She rose to fame after winning the 4th season of American Idol in 2005. Underwood has since sold over 14 million albums and over 20 million singles worldwide, won several Grammy Awards, including the coveted Grammy for Best New Artist in 2007, multiple American Music Awards, including Artist of the Year in 2007, and several Billboard Music Awards, including the 2006 Album of the Year for Some Hearts. <a href=""https://www.last.fm/music/Carrie+Underwood"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/053930fffeda542d720a3f5a5c381f3d.png
Cee Lo Green,Cee Lo Green,"$125,000",,0,0,TRUE,"Thomas DeCarlo Callaway (b. 30th May 1974), better known by his stage name Cee Lo Green, is a U.S. hip hop, funk, soul, and R&B musician. He is a singer, rapper, songwriter, and record producer, best known as a member of Goodie Mob and more recently Gnarls Barkley, and has also recorded two critically acclaimed solo LPs. He's also known for his strong Southern accent and smooth harmonising vocals. Among Green's solo hits are the singles ""Closet Freak"" (2002), ""I'll Be Around"" (2003), produced by and featuring Timbaland and ""Fuck You"" (2010). <a href=""https://www.last.fm/music/+noredirect/Cee+Lo+Green"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/4fbe560fc15041d6a02b01dded7ffd42.png
Chris Brown,Chris Brown,"$325,000",c234fa42-e6a6-443e-937e-2f4b073538a3,2577228,45930430,TRUE,"There is more than one artist with this name:1) Christopher Maurice Brown (born May 5, 1989) from Tappahannock, Virginia.In late 2005, he released his first studio album, Chris Brown, which spawned the Billboard Hot 100 number-one debut single, ""Run It!"" which was produced by Scott Storch and featured Juelz Santana. The album also produced two other top ten singles: ""Yo (Excuse Me Miss)"" and ""Say Goodbye."" Brown's second studio album, Exclusive was released worldwide in November 2007. <a href=""https://www.last.fm/music/Chris+Brown"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/1ad575a6f0cd04db16484f919e60e4df.png
Christina Aguilera,Christina Aguilera,"$425,000",b202beb7-99bd-47e7-8b72-195c8d72ebdd,2732318,125099245,TRUE,"Christina Maria Aguilera (born December 18, 1980 in Staten Island, New York, United States) is an accomplished pop and RnB singer-songwriter and record producer, who debuted in 1998 with the song Reflection for the soundtrack to the Disney film, Mulan.  She has since become one of the biggest female recording artists of the last decade, selling over 50 million records worldwide. Her work has earned her numerous awards, including five Grammy Awards and one Latin Grammy Award <a href=""https://www.last.fm/music/Christina+Aguilera"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3d959b0fa8ad3b421bb03059665d696a.png
Coldplay,Coldplay,"$750,000",cc197bad-dc9c-440d-a5b5-d52ba2e14234,5299041,352594687,TRUE,"Coldplay is a British alternative rock band, formed in London, United Kingdom in 1997. The band comprises vocalist and pianist Chris Martin, lead guitarist Jonny Buckland ã®´ã®´ã®´ who met each other in September 1996 at Ramsay Hall (halls of residence) at University College London - bassist Guy Berryman and drummer Will Champion.Not only have Coldplay had 7 highly successful studio album releases (all of which reached #1 on the UK album chart) - with their latest 7th studio album released on December 4 <a href=""https://www.last.fm/music/Coldplay"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3aa0fd17bc58e2a125f8008520415053.png
Counting Crows,Counting Crows,"$150,000",a0327dc2-dc76-44d5-aec6-47cd2dff1469,1927116,34878990,TRUE,"Counting Crows is an American rock band originating from Berkeley, California. Formed in 1991, the group gained fame in 1993 following the release of their debut album, titled 'August and Everything After', when track ""Mr. Jones"" became a big hit. Known for their melancholic yet melodic songwriting, the band started when singer Adam Duritz (previously of The Himalayans and Sordid Humor) teamed up with guitarist David Bryson (local producer and former member of the band Mr. <a href=""https://www.last.fm/music/Counting+Crows"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/b97f2f5803f24efa80577fa799a94dec.png
Creed,Creed,"$100,000",f4b5b380-abbb-4790-a96d-a5317416908e,1373467,24604649,TRUE,"Creed is an American post-grunge band, from Tallahassee, Florida, that became commercially successful during the late '90s.Creed formed in 1994 with their debut album, My Own Prison. After hearing them play live, Diana Meltzer of Wind-Up Records decided to sign the band to her label. After making it more radio friendly, the album was re-released by Wind-Up across the country and became a success, reaching the Top 40 of the Billboard 200. My Own Prison is, as of now, 6-times platinum. <a href=""https://www.last.fm/music/Creed"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/710b0785ca2f458695e9531ea729333a.png
Damian Marley,Damian Marley,"$100,000",cbfb9bcd-c5a0-4d7c-865f-2c641c171e1c,810175,13107024,TRUE,"Damian Robert Nesta ""Jr. Gong"" Marley (born July 21, 1978 in Kingston, Jamaica) is a reggae artist who has won three Grammy awards. Damian Marley is the youngest son of reggae legend Bob Marley.Damian was two years old when his father Bob died; he is the only child born to Marley and Cindy Breakspeare, Miss World 1976. Damian's nickname Junior Gong is derived from his father's nickname of Tuff Gong. Damian has been performing since the age of 13 and released his first album in 1996, at the age of 18. <a href=""https://www.last.fm/music/Damian+Marley"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/e138c40416ee4672c6b839f55f990f85.png
Daughtry,Daughtry,"$250,000",21e3292e-dac8-4609-b57d-402f926aa41f,1160137,25271793,TRUE,"Daughtry is an American rock band formed and fronted by namesake Chris Daughtry, who was a finalist on the fifth season of American Idol. Their self-titled debut album was released in November 2006 and reached number one on the Billboard 200. The album went on to sell more than four million copies in the United States, and has been certified quadruple platinum by the RIAA. Daughtry was also named the best selling album of 2007 by Billboard, becoming the fastest-selling debut rock album in Soundscan history. <a href=""https://www.last.fm/music/Daughtry"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/7c3a905663525cffbb59fd39b3951b09.png
Dave Matthews,Dave Matthews,"$1,000,000",2fa95b32-3c11-42d7-b495-12fc6be0a024,382546,4736694,TRUE,"Dave Matthews is the lead singer and guitarist for the Dave Matthews Band.  Matthews was born in Johannesburg, South Africa on January 9, 1967.  The Dave Matthews Band formed in Charlottesville, VA in the early 1990's.  Matthews also released a solo CD, Some Devil, in 2003 joined by guitarists Tim Reynolds, Trey Anastasio, drummer Brady Blade, and bassist Tony Hall. This group and keyboardist Ray Paczkowski tours as ""Dave Matthews & Friends.""Dave also plays some events solo <a href=""https://www.last.fm/music/Dave+Matthews"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/0f31222d77d6492f8e036d479cde9860.png
David Gray,David Gray,"$150,000",f7ced51c-2105-498b-a399-764ad3941759,1133092,17551605,TRUE,"There are multiple artists by the name of David Gray, including:1) a British singer-songwriter2) an Italian disco musician3) an American singer-songwriter4) drummer for the British blackened death metal band Akercocke5) a musician from South Africa1) David Gray  is a British singer-songwriter born on June 13, 1968 in Sale, United Kingdom. He released his first studio album in 1993 and received worldwide attention after the release of White Ladder six years later in 1999. <a href=""https://www.last.fm/music/David+Gray"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3429958644f344699d4ad388f8058dc4.png
David Guetta,David Guetta,"$200,000",302bd7b9-d012-4360-897a-93b00c855680,2706020,85053161,TRUE,"David Guetta (born November 7th, 1967 in Paris) is a French DJ.He was the pioneer of French house with ""Up & Away,"" a garage-style track with vocals by Robert Owens released in 1994 ã®´ã®´ã®´ really made a name for himself in the mid-90s as one of the key catalysts of Parisian nightlife by promoting evenings at such renowned Paris hot spots as Folies Pigalle, Queen, Bataclan, Palace and Les Bains, where he invited DJ legends like Little Louie Vega, David Morales, DJ Pierre and Roger Sanchez to join him on the turntables. <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/0244c2837708ea7b24b140f3ab823a23.png
Deadmau5,deadmau5,"$225,000",4a00ec9d-c635-463a-8cd4-eb61725f0c60,1502553,50187237,TRUE,"Born (January 5, 1981) and raised in Niagara Falls, Canada, Joel Zimmerman (aka ""deadmau5"") has become one of the most sought-after artists on the electronic music scene in recent times. He is known for his highly entertaining live gigs, often performing wearing a large cartoon mouse head.He first started his career as co-producer of the Niagara Falls radio show ã®´ã®´ã®´The Party Revolutionã®´Íù (101.1 The Planet). After gaining exposure to all the many facets of electronic music <a href=""https://www.last.fm/music/deadmau5"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/5dce0544f6d24908b4c0a321f6d3b0e7.png
Demi Lovato,Demi Lovato,"$150,000",faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,1231403,55278096,TRUE,"Demi Lovato (born Demetria Devonne Lovato; August 20, 1992 in Albuquerque, New Mexico, United States) is an American singer, songwriter, philanthropist, and actress.Within a few short years, Lovato went from a Disney starlet to a pop star with many hit singles to her credit, a judge position on the U.S. version of Simon Cowell's popular talent search show The X Factor, and a spokesperson for mental-health issues. She was raised in a household that included her mother (a former Dallas Cowboys Cheerleader) and her two sisters <a href=""https://www.last.fm/music/Demi+Lovato"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/7d9f3cbacb74b5f43b963417efc7e29b.png
Dierks Bentley,Dierks Bentley,"$125,000",6bd7faa9-601f-44db-a2a6-239209f83156,654167,6831724,TRUE,"Bentley's musical style is considered to be more traditional than many of his contemporaries and often contains traditional themes of lost or forbidden love, drinking and cheating. ""Lot of leavin' left to do"", one of his biggest singles, is also reminiscent of Waylon Jennings' style of Outlaw country with Western Swing influences.Early lifeDierks Bentley was born in Phoenix, Arizona. Then he moved to Lawrenceville, New Jersey, where he attended the Lawrenceville School, graduating in 1993.[1] <a href=""https://www.last.fm/music/Dierks+Bentley"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/f1a5069cd6da40668e421c1978fae1e5.png
DJ Red Foo,DJ Red Foo,"$125,000",,1,1,TRUE," <a href=""https://www.last.fm/music/DJ+Red+Foo"">Read more on Last.fm</a>",
Drake,Drake,"$400,000",b49b81cc-d5b7-4bdd-aadb-385df8de69a6,3284794,127961767,TRUE,"Drake is the name of more than one artist:1) Canadian actor/rapper2) polish sea folk band3) electronic DJ4) heavy metal from Chile5) 1960s US garage rock1) Aubrey ã®´ã®´ã®´Drakeã®´Íù Graham (born October 24, 1986 in Toronto, Ontario) is a Grammy award winning Canadian actor, rapper and singer signed to Young Money/Universal Motown. Drake shot to global fame upon the release of his critically acclaimed 2009 mixtape So Far Gone and Best I Ever Had, a single from the mixtape which peaked at #2 on the Billboard Hot 100. <a href=""https://www.last.fm/music/Drake"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/b0f8eaf6a3754f1c9eaaee35c402223b.png
Ed Shereen,Ed Shereen,"$125,000",,102,1224,TRUE," <a href=""https://www.last.fm/music/Ed+Shereen"">Read more on Last.fm</a>",
Ellie Goulding,Ellie Goulding,"$150,000",33ca19f4-18c8-4411-98df-ac23890ce9f5,1852589,79889551,TRUE,"Ellie Goulding (born Elena Jane Goulding, 30 December 1986 in Hereford, England) is an English singer-songwriter. Born in Hereford, she grew up in Kington, Herefordshire and currently lives in London, England.After studying drama at the University of Kent for a couple of years, Goulding moved to West London for the purpose of developing her songs and music career. Touring since 2008 she released her debut single ""Under the Sheets"" on 15 November 2009. <a href=""https://www.last.fm/music/Ellie+Goulding"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/73c7bcd8afc3a8fced8204e57add1237.png
Eric Church,Eric Church,"$175,000",15856215-cc51-4423-879c-9ac955ccb11a,494629,6528994,TRUE,"Eric Church is an American country music singer and songwriter. Church has released five studio albums and two live albums for Capitol Records Nashville with his 6th studio album, Desperate Man, due to be released on October 5, 2018. Church has released 28 singles and been featured on four other songs, of which 10 have charted within the Top 5 of Hot Country Songs and/or Country Airplay with eight singles going to #1. <a href=""https://www.last.fm/music/Eric+Church"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/a748a173e4091a8673d26d8bc9b44069.png
